y,x,AP1,AP2,AP3
1,11,-56.0,-73.0,-93.58
1,11,-56.0,-75.0,-93.58
1,11,-52.0,-73.0,-93.58
1,11,-54.0,-75.0,-93.58
1,11,-54.0,-72.0,-93.58
1,11,-54.0,-71.0,-93.58
1,11,-54.0,-72.0,-93.58
1,11,-54.0,-72.0,-93.58
1,11,-52.0,-72.0,-93.58
1,11,-53.0,-73.0,-93.58
1,11,-52.0,-70.0,-93.58
1,11,-53.0,-71.0,-95.0
1,11,-54.0,-70.0,-93.58
1,11,-54.0,-73.0,-93.58
1,11,-57.0,-70.0,-93.58
1,11,-54.0,-71.0,-95.0
1,11,-53.0,-70.0,-93.0
1,11,-54.0,-71.0,-93.58
1,11,-55.0,-72.0,-93.58
1,11,-59.0,-76.0,-93.58
1,11,-59.0,-75.0,-93.58
1,11,-59.0,-77.0,-93.58
1,11,-58.0,-76.0,-93.58
1,11,-59.0,-76.0,-93.58
1,11,-58.0,-78.0,-93.58
1,11,-59.0,-78.0,-93.58
1,11,-59.0,-75.0,-93.58
1,11,-59.0,-75.0,-93.58
1,11,-58.0,-75.0,-93.58
1,11,-60.0,-72.0,-93.58
1,11,-60.0,-74.0,-93.58
1,11,-60.0,-74.0,-93.58
1,11,-59.0,-75.0,-93.58
1,11,-59.0,-74.0,-93.58
1,11,-60.0,-72.0,-93.58
1,11,-59.0,-73.0,-93.58
1,11,-60.0,-72.0,-93.58
1,11,-59.0,-72.0,-93.58
1,11,-60.0,-71.0,-93.58
1,11,-61.0,-73.0,-93.58
1,11,-60.0,-75.0,-93.58
1,11,-60.0,-73.0,-93.58
1,11,-59.0,-73.0,-93.58
1,11,-58.0,-71.0,-93.58
1,11,-59.0,-73.0,-93.58
1,11,-58.0,-72.0,-93.58
1,11,-59.0,-69.0,-93.58
1,11,-60.0,-69.0,-93.58
1,11,-53.0,-71.0,-92.0
1,11,-53.0,-69.0,-92.0
1,11,-60.0,-67.0,-93.0
1,11,-58.0,-67.0,-94.0
1,11,-55.0,-78.0,-95.0
1,11,-56.0,-69.0,-93.58
1,11,-52.0,-63.0,-92.0
1,11,-49.0,-67.0,-94.0
1,11,-53.0,-67.0,-95.0
1,11,-52.0,-63.0,-93.58
